Oil Company Refinery
Log Date: Oct. 30, 2019
------------------------------
Time   Avg Temp   Avg Flowrate
(hr)        (C)          (gpm)
   1      40.56         85.945
   2      40.75         87.112
   3      38.15         96.097
   4      40.75         87.112
   5      38.15         96.097
   6      40.75         87.112
   7      38.15         96.097
   8      40.75         87.112
   9      38.15         96.097
  10      40.75         87.112
  11      38.15         96.097
  12      40.75         87.112
  13      38.15         96.097
